a_little	"0.903
"
a_little_hungry	"-0.56
"
a_little_specific	"0.252
"
a_lot	"0.079
"
a_lot_of_books	"0.258
"
a_lot_of_energy	"0.047
"
a_lot_of_fat	"0.255
"
a_lot_of_flowers	"-0.51
"
a_lot_of_food	"0.055
"
a_lot_of_fun	"0.033
"
a_lot_of_money	"0.557
"
a_lot_of_noise	"0.044
"
a_lot_of_people	"-0.61
"
a_lot_of_practice	"0.036
"
a_lot_of_sex	"0.584
"
a_lot_of_space	"0.858
"
a_lot_of_stress	"0.629
"
a_lot_of_study	"-0.14
"
a_lot_of_time	"-0.5
"
a_lot_of_work	"0.635
"
aaa	"0.566
"
aaa_hockey	"0.606
"
aah	"-0.03
"
abandon	"-0.51
"
abandoned_person	"-0.56
"
abandonment	"-0.79
"
abase	"-0.65
"
abasement	"-0.58
"
abash	"-0.58
"
abashed	"-0.54
"
abashment	"-0.52
"
abate	"-0.60
"
abatement	"-0.86
"
abbreviate	"-0.65
"
abc	"0.061
"
abdicate	"0.043
"
abdication	"-0.81
"
abdomen	"-0.60
"
abdominal_discomfort	"0.555
"
abdominal_distension	"-0.11
"
abdominal_distention	"0.793
"
abdominal_ectopic_gestation	"-0.71
"
abdominal_injury	"-0.72
"
abdominal_pain	"-0.09
"
abdominal_pregnancy	"-0.57
"
abdominal_tenderness	"-0.73
"
abdominoplasty	"0.793
"
abduction	"0.788
"
abductor	"-0.60
"
abductor_muscle	"0.781
"
aberrance	"0.781
"
aberrancy	"-0.86
"
aberrant	"-0.81
"
abetalipoproteinemia	"-0.78
"
abhor	"-0.86
"
abhorrence	"-0.39
"
abhorrent	"-0.39
"
abidance	"-0.44
"
abide	"0.778
"
abide_by	"0.045
"
abience	"0.652
"
ability	"-0.55
"
ability_communicate	"0.129
"
ability_hear	"0.581
"
ability_read	"0.236
"
ability_see	"0.536
"
abject	"0.279
"
abjection	"-0.60
"
abjectly	"-0.52
"
abjure	"-0.63
"
ablate	"-0.72
"
ablate_down	"-0.53
"
ablate_off	"-0.69
"
ablate_out	"-0.68
"
ablate_thin	"-0.69
"
ablaze	"-0.69
"
able	"0.724
"
able_eat	"0.778
"
able_hear	"0.562
"
able_read	"0.506
"
able_run	"0.865
"
able_see	"0.775
"
able_use	"0.087
"
ablution	"0.856
"
abnegate	"-0.89
"
abnormal	"-0.94
"
abnormal_bone	"-0.64
"
abnormal_gait	"-0.04
"
abnormal_heart_rhythm	"0.776
"
abnormal_posture	"-0.57
"
abnormal_prion	"0.776
"
abnormalcy	"0.905
"
abnormality	"-0.86
"
abolish	"-0.86
"
abolished_corporal_punishment	"0.357
"
abominable	"-0.85
"
abominable_snowman	"-0.53
"
abominably	"-0.58
"
abominate	"-0.44
"
abomination	"-0.39
"
abominator	"-0.39
"
aboriginal	"-0.53
"
abortion	"0.068
"
abortion_ban	"-0.56
"
abortion_foe	"-0.56
"
abortion_law	"-0.56
"
abortion_opponent	"-0.56
"
abortion_right	"-0.56
"
abortion_right_activist	"-0.56
"
abortion_right_advocate	"-0.56
"
abortion_right_group	"-0.56
"
abortionist	"-0.56
"
abortive	"0.564
"
abortus	"-0.78
"
abound	"-0.53
"
above	"-0.47
"
above_all	"0.531
"
above_earth	"0.528
"
above_leg	"0.052
"
aboveground_biomass	"0.05
"
